User,Date Created,Number of likes,Source of Tweet,Tweet
🌳🌲🍊🇨🇱 Viviluc. #AprobéCC,2022-08-20 17:23:32+00:00,4,Twitter for Android,"Si crees que Marcela Cubillos, hoy en España y repartiendo un libro que le financiaron para mentir,  te defiende ..… https://t.co/z2MCaI7NVj"
🅰️ndres #h🅰️br🅰️nuev🅰️constitucion,2022-08-20 16:27:49+00:00,5,Twitter for iPhone,@mcubillossigall @gabrielboric ojalá que la marcela cubillos que se divorció le escriba a la marcela cubillos que e… https://t.co/lWJ0PHnq1j
La Tercera,2022-08-20 13:50:00+00:00,69,TweetDeck,#LTSábado - Protagonistas de la Convención | Marcela Cubillos: “La izquierda se engolosinó con su mayoría y terminó… https://t.co/R6QfiIoUPO
allthuser,2022-08-20 11:09:16+00:00,0,Twitter for iPad,&lt; Marcela Cubillos [ @mcubillossigall ] : “La izquierda se engolosinó con su mayoría y terminó escribiendo un progr… https://t.co/nGzF5UPWdI
Pablo Torrejon,2022-08-20 05:30:21+00:00,0,Twitter Web App,@Mister_Wolf_0 Oye pero esta charla la dió ebrio o le hizo un tributo a Marcela Cubillos?
Paula Catena,2022-08-20 02:41:17+00:00,1,Twitter for iPhone,https://t.co/U0SbOvv4tZ
Eugenio,2022-08-20 02:08:20+00:00,3,Twitter for iPhone,Marcela Cubillos: “La izquierda se engolosinó con su mayoría y terminó escribiendo un programa de gobierno” - La Te… https://t.co/3xufTGcicn
Benjmín,2022-08-20 02:07:34+00:00,19,Twitter for iPhone,@difamadores @viejodehisteria @ximerincon La @ximerincon de ahora es la Marcela Cubillos encubierta.
ddalencone🌳🇨🇱,2022-08-20 01:13:15+00:00,0,Twitter for Android,@CaminandoSuave Si claro... Esto le contó Marcela Cubillos? O Moreira? Pregúntele a Cruz Coke lo que dijo de lo que… https://t.co/gc0jYUsdpw
Octavio Ramirez,2022-08-20 01:12:33+00:00,0,Twitter for Android,"Ahora se conocerán muchas mujeres, que harán notar su condición  de capacidad tremenda.
Si han dado cuenta como des… https://t.co/4KbwzT11t1"
Pablo Velásquez,2022-08-20 00:07:32+00:00,0,Twitter for Android,El Rechazo viene haciendo campaña hace un año. Cubillos Marcela flojeó todo el año. Viene en caída porque no puedes… https://t.co/NxcaB0tFkf
Carla Osorio,2022-08-19 23:18:34+00:00,0,Twitter Web App,"@LorenaPizarroS @albertoplaza Boric salió con una camiseta con Guzmán baleado, a Marcela Cubillos le hicieron lo mi… https://t.co/kZYKAGkV7s"
Profesor Gonzai,2022-08-19 20:21:45+00:00,0,Twitter for iPhone,"En una democracia torcida, que hicieron a medida de la izquierda extrema
Hay convencionales con menos de 100 votos… https://t.co/GbEisWTxtB"
🅰️ndres #h🅰️br🅰️nuev🅰️constitucion,2022-08-19 17:22:21+00:00,0,Twitter Web App,Me parece estar escuchando a Marcela Cubillos o a cualquier UDI o Republiasno https://t.co/TitDjrQZYb
gusandes,2022-08-19 12:29:23+00:00,0,Twitter Web App,"@apoderadoschile @joseantoniokast @mcubillossigall la marcela cubillos, fue muy chueca y traidora con jak en primer… https://t.co/baE95rYtYl"
Matías Mell🅰️ 💐,2022-08-19 03:56:42+00:00,0,Twitter for iPhone,Literalmente es escuchar a Marcela Cubillos sin las eses.
guillermo toro,2022-08-19 01:29:24+00:00,0,Twitter for iPhone,"@cristian_arayal este tipo está tan putrefacto como el johannes kaiser, gonzalo de la carrera, josé a. kast, rojo e… https://t.co/YjKb0nNEuA"
Rosa Figueroa Pacheco,2022-08-18 23:25:50+00:00,1,Twitter for iPhone,"@mcubillossigall Las respuestas que ha recibido Marcela Cubillos en este posteo, realmente es alarmante, que manera… https://t.co/d1PAEcC32F"
Alejandro Bravo,2022-08-18 21:53:53+00:00,0,Twitter for Android,"@diego_ibanezc Esto es tan bajo @carreragonzalo como la funa a Marcela Cubillos en el cementerio general,, no es gr… https://t.co/pog3piRgeE"
Tomás Aylwin A. 💛,2022-08-18 15:02:48+00:00,5,Twitter Web App,"Además. Sólo dos convencionales obtuvieron más del 20% de los votos...y son Marcela Cubillos y Daniel Stingo.

Sí..… https://t.co/rG9Dc4o0Kp"
MarcoMira 🌳,2022-08-18 12:58:35+00:00,0,Twitter for Android,Marcela Cubillos bostezando al despertar https://t.co/UsGrITCEA2
Jorge Molin🅰️ Pel🅰️yo,2022-08-17 18:11:07+00:00,0,Twitter for Android,"Porqué la derecha hizo desaparecer a José Kast, Sebastián Piñera, Carlos Larrain, Marcela Cubillos, Teresa Marinovi… https://t.co/mEb5moRz71"
Pibi✨🧉,2022-08-17 15:46:20+00:00,1,Twitter Web App,"Si ctm, seguro si gana el rechazo vamos a ver a Marcela Cubillos dándose la mano con Soledad Alvear para reformar weas 😂"
Camila❄️💎,2022-08-16 20:28:09+00:00,0,Twitter for iPhone,"Marcela Cubillos a Monica Rincon: ""¡Que Pregunta Más Torcida!"" https://t.co/9NSd3pqgT8 vía @YouTube"
P🅰️trici🅰️ 🇨🇱🅰️,2022-08-16 18:39:21+00:00,5,Twitter for Android,@japalola Marcela Cubillos
Team_Dalealbo,2022-08-16 17:39:05+00:00,0,Twitter for iPhone,"Aquí vean en lo que está pendiente el señor Codina, anda mintiéndole a las señoras de Puente alto y además está det… https://t.co/VGUjylVua7"
Lucas Chavez Grille,2022-08-16 00:14:49+00:00,2,Twitter for iPhone,"@RodRettig No culpes al tecnicismo. No vaya ser que nos “cansemos de los expertos” como decía Marcela Cubillos.

Ha… https://t.co/K8bk5v3HkA"
Team_Dalealbo,2022-08-15 17:36:57+00:00,2,Twitter for iPhone,@CHVNoticias Estos son los mismos que andan entregando el libro de Marcela cubillos🤣
EnePixeles™➐,2022-08-15 12:48:03+00:00,0,Twitter for Android,"Las ratas como Marcela Cubillos (me tiene bloqueado) andan entregando a vecinos este libro con mentiras.
Yo transfo… https://t.co/GadyhLHKXX"
Herman Aguirre Ayala,2022-08-15 03:49:40+00:00,11,Twitter for iPhone,@Amarillos_Chile @ipoduje @fernando_atria Como??  Están en la misma vereda con aquellos que votaron SI. Marcela Cubillos por ejemplo.
Guillermo Monsalva,2022-08-15 00:29:57+00:00,0,Twitter Web App,@CNNChile Ni Marcela Cubillos se atrevió a tanto!!
Roberto Alejandro,2022-08-14 22:36:22+00:00,0,Twitter for Android,"JaAJJAJAJA la democracia es tiranía, Las mismas palabra que usaba  la Marcela cubillos. Lo que molesta es la poca s… https://t.co/SHNb5EEdBi"
Dokarmo Guerrero,2022-08-14 20:03:59+00:00,0,Twitter for Android,@Roccus_Herald @Monka_lover Puro amor de Ximena Rincón y Marcela Cubillos
Pancho #Apruebo4Septiembre UC,2022-08-14 14:05:04+00:00,2,Twitter for Android,@ximerincon @matiaswalkerp Ximena Marcela Rincón Cubillos https://t.co/BUXdmjcCNV
meli errazuriz lavalle 🅰️🇨🇱 #Merluzos,2022-08-14 06:12:54+00:00,78,Twitter Web App,marcela cubillos se equivoca y se pone la peluca de ximena rincón por error 😜😳😂 https://t.co/kzhlTaKkym
chata hasta no poder,2022-08-14 04:51:51+00:00,0,Twitter for iPhone,"Marcela Cubillos a Monica Rincon: ""¡Que Pregunta Más Torcida!"" https://t.co/VivGYVRXp6 vía @YouTube"
Jose Miguel Arcos,2022-08-13 20:25:54+00:00,49,Twitter for iPhone,"“Marcela Ximena Cubillos Rincón”
👇
La Metamorfosis de Kafka es un moco de pavo al lado del espeluznante espectáculo… https://t.co/t0cwCT0Bfe"
Batgirl🌳,2022-08-13 16:56:12+00:00,2,Twitter for Android,"Cuando Marcela Cubíllos dice una cosa, siempre hace otra, es un escorpión ! Mejor q este fuera de Chile, un veneno… https://t.co/29Emo2F1mP"
